study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,age25_49,laboratory,15,1731,diabetes,0.0005042047410162271,0.9576226258192814,0.0005092927405819813,0.0011917232667798118,0.4273582255032708,0.06824305261978304,2.0
primary,age25_49,laboratory,15,1731,renal,3.8911859778819637e-07,,0.0,0.0005051038235267812,0.0,0.050510382352678115,0.0
primary,age25_49,laboratory,15,1731,chronic_liver,0.0025129391988864065,0.6661541959523491,0.0025171968073983177,0.0009215602695666065,2.7314510949805926,-0.1595636537831711,3.0
primary,age25_49,laboratory,15,1731,lung_cancer,0.0014510035480657033,0.7303623357556156,0.0014404494571903174,0.003723240814034274,0.38688055087941925,0.22827913568439565,4.0
primary,age25_49,laboratory,15,1731,colorectal_cancer,0.0010608603525223725,0.5833654450182298,0.001061233733061088,0.0017207043588768063,0.6167437930789056,0.06594706258157183,3.0
primary,age25_49,laboratory,15,1731,pancreatic_cancer,0.0001895001198120443,0.8242709179503965,0.00018867974252510805,0.0009545444534067712,0.1976646994822605,0.07658647108816632,1.0
primary,age25_49,laboratory,15,1731,breast_cancer,0.003441791555640135,0.7839417820405177,0.0034595829331841993,0.002078593479222214,1.66438650354986,-0.13809894539619852,9.0
primary,age25_49,laboratory,15,1731,prostate_cancer,4.628878910991587e-06,,0.0,0.001221498161598874,0.0,0.12214981615988739,0.0
primary,age25_49,laboratory,15,1731,gastric_cancer,1.2304245110156292e-06,,0.0,0.0007867364459615112,0.0,0.07867364459615112,0.0
primary,age25_49,laboratory,15,1731,hematologic_cancer,0.0028295058637624933,0.8968072163011498,0.0028514760967930392,0.0026071280222569318,1.093723082430214,-0.024434807453610746,3.0
primary,age25_49,laboratory,15,1731,infection,0.002906347337463113,0.575932143999796,0.0029114340619652945,0.0020669464584944755,1.408567720755538,-0.0844487603470819,5.0
primary,age25_49,laboratory,15,1731,external,0.008604766415380287,0.5505756715441775,0.00866171490186397,0.003509027835761047,2.4684087181045102,-0.5152687066102923,19.0
primary,age25_49,laboratory,15,1731,other_or_unresolved,0.00959246541632726,0.8259998492671858,0.009856775478842261,0.016102683061888882,0.6121200697398584,0.6245907583046622,24.0
primary,age50_64,laboratory,15,631,multistate,0.3994235795369816,,,,,,
